name,X,Y,Z,factor,weight,distance.Origin,angle.Factor,is.Factor,count,color,color1
sarahhyland,-1.165313021,-0.333326702,0.48700626,Factor2,12.04736655,1.306229775,45.42282265,0,124,#f6ebcf,0xf6ebcf
natgeo,-0.401335182,0.52972198,-0.555692249,Factor6,12.89767734,0.866296243,82.64806825,0,513,#f6ebcf,0xf6ebcf
kingjames,0.936517836,-1.256274778,0.009173707,Factor5,13.89144313,1.566963986,28.9534426,0,268,#f6ebcf,0xf6ebcf
therock,-0.233283056,-0.050322979,0.600462322,Factor2,13.19551806,0.646148888,50.66248253,0,523,#f6ebcf,0xf6ebcf
instagram,1.143991605,-0.31727212,0.381968887,Factor1,12.00333683,1.247108103,11.26819597,0,322,#f6ebcf,0xf6ebcf
kylerichards18,2.069650732,3.312580911,-0.130216259,Factor7,17.99338261,3.908145688,1.082832205,0,148,#f6ebcf,0xf6ebcf
taylorswift,-1.24365424,-0.732769757,0.825536347,Factor3,12.76642943,1.662870304,31.44181734,0,509,#f6ebcf,0xf6ebcf
naacp,1.067624893,0.144052269,0.120719962,Factor5,12.3027227,1.084042102,45.15051837,0,129,#f6ebcf,0xf6ebcf
theprettymess,2.484930395,3.583455515,-0.050935836,Factor7,17.75513211,4.361035079,3.241985865,0,122,#f6ebcf,0xf6ebcf
mileycyrus,0.749037979,-0.544598789,1.157017469,Factor1,14.43621668,1.482003765,32.58917213,0,277,#f6ebcf,0xf6ebcf
thedailyshow,0.338757318,-0.551141049,0.123473765,Factor5,13.40272989,0.658603635,25.16227163,0,229,#f6ebcf,0xf6ebcf
womenshealthmag,-0.303269822,-0.810895949,-0.213385929,Factor3,12.20477462,0.891660463,26.2542063,0,166,#f6ebcf,0xf6ebcf
newyorkermag,0.968871608,0.472064045,-0.437845831,Factor6,13.18721036,1.163299457,23.81348333,0,148,#f6ebcf,0xf6ebcf
kourtneykardash,2.484824734,-1.549125491,0.699943697,Factor1,17.72056241,3.010658554,7.509885265,0,395,#f6ebcf,0xf6ebcf
kimkardashian,3.187377866,-1.533976218,0.726286583,Factor1,17.99756894,3.611087495,8.014269959,0,504,#f6ebcf,0xf6ebcf
hgtv,-1.334782565,-2.092336082,0.211306791,Factor3,14.28549442,2.490816199,6.213101817,0,156,#f6ebcf,0xf6ebcf
jessicasimpson,-1.069078267,-0.302472819,0.652269422,Factor2,12.7572327,1.288360799,43.6802559,0,196,#f6ebcf,0xf6ebcf
